,date,gacc,fires,cumulative_acres,crews,engines,helicopters,total_personnel
0,2025-03-23,NWCC,0,0,0,0,0,0
1,2025-03-23,ONCC,0,0,0,0,0,0
2,2025-03-23,OSCC,0,0,0,0,0,0
3,2025-03-23,NRCC,0,0,0,0,0,0
4,2025-03-23,GBCC,0,0,0,0,0,0
5,2025-03-23,SWCC,3,"21,848",2,12,0,160
6,2025-03-23,RMCC,12,"49,237",0,70,0,285
7,2025-03-23,EACC,19,"8,296",3,31,3,243
8,2025-03-23,SACC,106,"266,809",26,234,10,"1,212"
9,2016-11-26,NWCC,0,0,0,0,0,0
10,2016-11-26,ONCC,1,"1,235",1,0,0,6
11,2016-11-26,OSCC,0,0,0,0,0,0
12,2016-11-26,NRCC,0,0,0,0,0,0
13,2016-11-26,GBCC,0,0,0,0,0,0
14,2016-11-26,SWCC,0,518,0,0,0,0
15,2016-11-26,RMCC,0,0,0,0,0,0
16,2016-11-26,EACC,2,"1,269.5",1,8,2,83
17,2016-11-26,SACC,83,"166,548.5",100,332,33,"3,714"
18,2024-08-15,NWCC,37,"1,283,389",281,531,55,"12,300"
19,2024-08-15,ONCC,4,"447,038",152,451,32,"7,328"
20,2024-08-15,OSCC,9,"96,721",38,38,8,"1,264"
21,2024-08-15,NRCC,14,"9,345",19,27,6,792
22,2024-08-15,GBCC,23,"290,536",70,133,23,"2,953"
23,2024-08-15,SWCC,11,"90,074",4,18,2,222
24,2024-08-15,RMCC,6,"39,581",1,28,3,308
25,2024-08-15,EACC,0,0,0,0,0,0
26,2024-08-15,SACC,14,"15,159",0,48,0,222
27,2019-09-09,NWCC,5,"16,381",17,12,15,638
28,2019-09-09,ONCC,10,"60,553",111,370,38,"4,724"
29,2019-09-09,OSCC,7,"16,126",41,68,5,"1,063"
30,2019-09-09,NRCC,10,"13,504",8,20,8,345
31,2019-09-09,GBCC,16,"55,098",24,47,11,938
32,2019-09-09,SWCC,15,"49,090",16,27,5,542
33,2019-09-09,RMCC,7,"37,727",11,13,9,542
34,2019-09-09,EACC,0,0,0,0,0,0
35,2019-09-09,SACC,8,"25,018",0,43,1,281
36,2020-09-14,NWCC,34,"1,666,534",217,609,69,"8,651"
37,2020-09-14,ONCC,17,"2,407,341",194,722,82,"9,908"
38,2020-09-14,OSCC,10,"490,710",98,709,52,"6,900"
39,2020-09-14,NRCC,18,"120,291",27,74,14,"1,458"
40,2020-09-14,GBCC,11,"146,756",31,121,31,"1,822"
41,2020-09-14,SWCC,8,"33,106",3,9,5,146
42,2020-09-14,RMCC,7,"306,602",24,72,24,"1,414"
43,2020-09-14,EACC,0,0,0,0,0,0
44,2020-09-14,SACC,3,"615,734",0,0,0,147
45,2016-03-11,AKCC,0,0,0,0,0,0
46,2016-03-11,NWCC,0,0,0,0,0,0
47,2016-03-11,ONCC,0,0,0,0,0,0
48,2016-03-11,OSCC,0,0,0,0,0,0
49,2016-03-11,NRCC,1,440,0,3,0,7
50,2016-03-11,GBCC,0,0,0,0,0,0
51,2016-03-11,SWCC,4,"12,392",3,6,2,95
52,2016-03-11,RMCC,4,"26,747",2,23,0,106
53,2016-03-11,EACC,1,174,0,0,0,4
54,2016-03-11,SACC,42,"29,902",1,116,4,462
55,2020-09-04,NWCC,16,"173,415",96,234,28,"3,864"
56,2020-09-04,ONCC,12,"1,449,781",209,817,87,"11,352"
57,2020-09-04,OSCC,11,"205,902",28,136,24,"1,884"
58,2020-09-04,NRCC,22,"185,132",21,108,22,"1,264"
59,2020-09-04,GBCC,7,"21,065",20,53,16,880
60,2020-09-04,SWCC,22,"167,255",23,51,9,"1,110"
61,2020-09-04,RMCC,10,"216,166",40,157,23,"2,500"
62,2020-09-04,EACC,0,0,0,0,0,0
63,2020-09-04,SACC,17,"635,039",3,11,1,221
64,2019-09-19,NWCC,2,"24,505",3,5,3,149
65,2019-09-19,ONCC,9,"78,557",49,101,14,"2,679"
66,2019-09-19,OSCC,6,"13,587",18,34,7,740
67,2019-09-19,NRCC,2,376,0,4,0,17
68,2019-09-19,GBCC,8,"25,721",9,17,7,315
69,2019-09-19,SWCC,7,"55,998",4,12,2,233
70,2019-09-19,RMCC,5,"5,079",7,13,2,270
71,2019-09-19,EACC,0,0,0,0,0,0
72,2019-09-19,SACC,12,"6,296",5,25,1,156
73,2024-08-05,NWCC,45,"1,330,054",335,694,63,"14,106"
74,2024-08-05,ONCC,5,"427,888",125,551,48,"6,935"
75,2024-08-05,OSCC,9,"144,318",81,161,19,"3,174"
76,2024-08-05,NRCC,21,"40,691",33,50,6,"1,356"
77,2024-08-05,GBCC,19,"74,758",38,81,20,"1,772"
78,2024-08-05,SWCC,15,"95,137",7,39,7,613
79,2024-08-05,RMCC,11,"70,089",32,135,16,"1,630"
80,2024-08-05,EACC,0,0,0,0,0,0
81,2024-08-05,SACC,2,"1,761",0,6,0,27
82,2018-09-16,NWCC,12,"389,647",55,129,17,"2,763"
83,2018-09-16,ONCC,6,"570,652",93,164,19,"3,903"
84,2018-09-16,OSCC,3,"2,089",5,18,1,176
85,2018-09-16,NRCC,17,"76,719",19,48,11,"1,102"
86,2018-09-16,GBCC,17,"429,939",36,105,32,"1,743"
87,2018-09-16,SWCC,4,"3,987",7,12,1,220
88,2018-09-16,RMCC,11,"74,436",18,50,8,726
89,2018-09-16,EACC,0,0,0,0,0,0
90,2018-09-16,SACC,0,0,0,0,0,0
91,2018-09-06,NWCC,15,"443,858",132,268,70,"5,284"
92,2018-09-06,ONCC,5,"512,213",63,195,12,"3,191"
93,2018-09-06,OSCC,5,"72,661",10,12,7,467
94,2018-09-06,NRCC,19,"79,730",26,86,17,"1,722"
95,2018-09-06,GBCC,18,"365,736",48,115,33,"2,119"
96,2018-09-06,SWCC,2,"1,953",0,0,0,6
97,2018-09-06,RMCC,12,"111,120",12,78,9,711
98,2018-09-06,EACC,1,"5,000",0,0,0,1
99,2018-09-06,SACC,1,310,0,4,0,11
100,2023-08-23,NWCC,15,"113,575",102,294,40,"4,885"
101,2023-08-23,ONCC,12,"74,555",165,529,19,"6,652"
102,2023-08-23,OSCC,3,"99,008",9,10,0,298
103,2023-08-23,NRCC,19,"84,564",70,129,14,"3,327"
104,2023-08-23,GBCC,9,"70,424",8,17,12,666
105,2023-08-23,SWCC,10,"23,161",6,9,2,353
106,2023-08-23,RMCC,10,"15,353",6,40,6,531
107,2023-08-23,EACC,1,"1,500",0,8,0,15
108,2023-08-23,SACC,24,"11,877",2,52,3,362
109,2022-08-25,NWCC,15,"33,718",70,67,19,"2,890"
110,2022-08-25,ONCC,3,"95,675",49,133,24,"2,531"
111,2022-08-25,OSCC,1,325,1,5,0,57
112,2022-08-25,NRCC,21,"39,776",17,68,16,882
113,2022-08-25,GBCC,9,"114,125",40,85,18,"1,958"
114,2022-08-25,SWCC,1,"341,735",2,5,2,506
115,2022-08-25,RMCC,2,"8,214",1,10,0,49
116,2022-08-25,EACC,1,2,0,9,0,32
117,2022-08-25,SACC,8,"8,068",0,6,1,52
118,2024-10-03,NWCC,25,"400,870",56,140,16,"2,650"
119,2024-10-03,ONCC,0,0,0,0,0,0
120,2024-10-03,OSCC,6,"136,737",54,174,18,"2,688"
121,2024-10-03,NRCC,5,"10,860",0,4,1,52
122,2024-10-03,GBCC,17,"419,913",55,95,28,"2,898"
123,2024-10-03,SWCC,4,"20,606",4,14,0,158
124,2024-10-03,RMCC,8,"59,283",5,59,2,324
125,2024-10-03,EACC,0,0,0,0,0,0
126,2024-10-03,SACC,3,0,0,35,0,"1,449"
127,2023-08-22,NWCC,15,"113,272",94,313,34,"4,634"
128,2023-08-22,ONCC,12,"68,470",125,424,12,"5,486"
129,2023-08-22,OSCC,2,"5,930",24,71,0,728
130,2023-08-22,NRCC,19,"84,557",74,121,13,"3,283"
131,2023-08-22,GBCC,8,"70,424",8,16,12,656
132,2023-08-22,SWCC,11,"83,164",3,8,2,259
133,2023-08-22,RMCC,9,"15,121",5,38,4,491
134,2023-08-22,EACC,1,600,0,12,1,50
135,2023-08-22,SACC,24,"12,822",2,60,6,432
136,2024-07-14,NWCC,17,"200,292",109,208,32,"4,049"
137,2024-07-14,ONCC,6,"21,959",107,280,35,"4,278"
138,2024-07-14,OSCC,11,"63,906",111,324,44,"4,891"
139,2024-07-14,NRCC,7,"22,919",10,29,4,448
140,2024-07-14,GBCC,14,"66,966",33,70,21,"1,601"
141,2024-07-14,SWCC,16,"83,704",35,70,10,"1,624"
142,2024-07-14,RMCC,3,"1,632",3,7,3,133
143,2024-07-14,EACC,1,"4,300",0,3,0,7
144,2024-07-14,SACC,2,"1,600",0,9,1,28
145,2016-06-22,NWCC,0,"3,387",0,0,0,0
146,2016-06-22,ONCC,1,"2,858",4,11,4,343
147,2016-06-22,OSCC,6,"26,419",114,428,28,"4,879"
148,2016-06-22,NRCC,1,"1,475",3,6,2,121
149,2016-06-22,GBCC,4,"2,134",25,14,6,700
150,2016-06-22,SWCC,19,"202,108",74,154,28,"3,056"
151,2016-06-22,RMCC,8,"6,632.2",12,24,5,377
152,2016-06-22,EACC,0,0,0,0,0,0
153,2016-06-22,SACC,1,485,0,0,0,1
154,2022-06-28,NWCC,0,0,0,0,0,0
155,2022-06-28,ONCC,0,524,0,0,0,0
156,2022-06-28,OSCC,1,"2,500",1,0,0,23
157,2022-06-28,NRCC,0,0,0,0,0,0
158,2022-06-28,GBCC,3,"9,234",28,36,10,"1,002"
159,2022-06-28,SWCC,11,"793,241",13,27,6,"1,544"
160,2022-06-28,RMCC,2,"5,464",2,6,0,76
161,2022-06-28,EACC,2,"13,815",0,33,2,122
162,2022-06-28,SACC,17,"21,453",3,122,6,652
163,2023-09-01,NWCC,24,"138,875",159,326,78,"6,807"
164,2023-09-01,ONCC,7,"131,707",205,713,29,"9,122"
165,2023-09-01,OSCC,2,"5,564",1,0,0,27
166,2023-09-01,NRCC,16,"67,477",39,84,13,"2,269"
167,2023-09-01,GBCC,8,"32,274",8,21,7,374
168,2023-09-01,SWCC,5,"6,308",6,6,1,311
169,2023-09-01,RMCC,5,"5,811",5,9,3,203
170,2023-09-01,EACC,1,110,0,0,0,0
171,2023-09-01,SACC,30,"62,980",2,87,13,744
172,2015-09-11,AKCC,1,"4,862",1,0,1,24
173,2015-09-11,NWCC,26,"1,227,886",188,351,48,"8,019"
174,2015-09-11,ONCC,6,"154,652",47,148,26,"2,244"
175,2015-09-11,OSCC,7,"110,780",78,190,25,"3,072"
176,2015-09-11,NRCC,39,"500,863",55,117,19,"2,854"
177,2015-09-11,GBCC,14,"119,165",41,42,14,"1,532"
178,2015-09-11,SWCC,0,0,0,0,0,0
179,2015-09-11,RMCC,2,700,1,5,1,33
180,2015-09-11,EACC,1,"1,012",0,0,0,0
181,2015-09-11,SACC,10,532,0,4,0,16
182,2020-05-07,NWCC,1,905,0,0,0,0
183,2020-05-07,ONCC,0,0,0,0,0,0
184,2020-05-07,OSCC,0,0,0,0,0,0
185,2020-05-07,NRCC,0,0,0,0,0,0
186,2020-05-07,GBCC,0,0,0,0,0,0
187,2020-05-07,SWCC,0,0,0,0,0,0
188,2020-05-07,RMCC,0,455,0,0,0,0
189,2020-05-07,EACC,0,0,0,0,0,0
190,2020-05-07,SACC,12,"34,292",0,22,1,118
191,2021-07-06,NWCC,13,"34,001",48,104,11,"1,423"
192,2021-07-06,ONCC,5,"49,065",101,255,38,"3,985"
193,2021-07-06,OSCC,7,"8,379",9,79,4,625
194,2021-07-06,NRCC,12,"47,800",15,37,11,601
195,2021-07-06,GBCC,12,"42,228",9,21,10,479
196,2021-07-06,SWCC,18,"465,681",19,42,7,980
197,2021-07-06,RMCC,6,"22,522",7,22,6,408
198,2021-07-06,EACC,0,0,0,0,0,0
199,2021-07-06,SACC,1,"7,700",0,1,0,1
200,2019-10-10,NWCC,1,"8,743",2,10,0,83
201,2019-10-10,ONCC,1,532,4,5,0,88
202,2019-10-10,OSCC,2,"4,450",38,122,9,"1,493"
203,2019-10-10,NRCC,1,60,0,0,0,1
204,2019-10-10,GBCC,2,217,0,0,0,5
205,2019-10-10,SWCC,2,"2,466",1,5,1,57
206,2019-10-10,RMCC,2,"7,645",28,34,15,"1,053"
207,2019-10-10,EACC,0,0,0,0,0,0
208,2019-10-10,SACC,14,"5,447",5,15,1,149
209,2015-09-01,AKCC,2,"5,320",5,0,4,137
210,2015-09-01,NWCC,32,"1,366,471",233,722,58,"11,768"
211,2015-09-01,ONCC,10,"244,078",72,163,21,"3,771"
212,2015-09-01,OSCC,5,"90,444",48,178,14,"2,485"
213,2015-09-01,NRCC,60,"522,620",96,311,41,"5,727"
214,2015-09-01,GBCC,21,"125,281",36,86,19,"1,732"
215,2015-09-01,SWCC,3,"7,055",4,9,0,170
216,2015-09-01,RMCC,4,772,0,4,0,21
217,2015-09-01,EACC,0,0,0,0,0,0
218,2015-09-01,SACC,21,"27,157",1,27,6,203
219,2021-07-16,NWCC,19,"449,398",150,554,43,"6,793"
220,2021-07-16,ONCC,7,"155,850",67,227,19,"3,315"
221,2021-07-16,OSCC,5,"15,386",18,215,13,"1,547"
222,2021-07-16,NRCC,37,"338,124",79,224,30,"4,111"
223,2021-07-16,GBCC,10,"20,721",15,37,10,658
224,2021-07-16,SWCC,13,"156,881",3,18,7,367
225,2021-07-16,RMCC,4,"12,529",9,24,9,573
226,2021-07-16,EACC,2,149,4,15,2,250
227,2021-07-16,SACC,0,0,0,0,0,0
228,2023-07-07,NWCC,5,"1,607",25,72,7,935
229,2023-07-07,ONCC,1,5,2,4,2,90
230,2023-07-07,OSCC,2,"1,917",2,4,0,95
231,2023-07-07,NRCC,2,48,5,0,4,146
232,2023-07-07,GBCC,0,0,0,0,0,0
233,2023-07-07,SWCC,13,"105,405",24,50,18,"1,039"
234,2023-07-07,RMCC,6,"5,153",31,49,22,"1,502"
235,2023-07-07,EACC,2,798,0,2,0,5
236,2023-07-07,SACC,5,"3,366",0,11,1,53
237,2021-10-12,NWCC,8,"421,756",11,19,2,784
238,2021-10-12,ONCC,6,"1,847,926",63,102,26,"3,751"
239,2021-10-12,OSCC,3,"186,468",64,199,37,"3,322"
240,2021-10-12,NRCC,11,"186,697",8,28,3,408
241,2021-10-12,GBCC,4,"159,306",0,7,0,39
242,2021-10-12,SWCC,0,"1,015",0,0,0,0
243,2021-10-12,RMCC,3,"9,329",1,7,0,43
244,2021-10-12,EACC,1,"1,936",0,2,0,54
245,2021-10-12,SACC,7,"1,677",1,32,1,88
246,2024-06-18,NWCC,6,"15,550",17,34,9,663
247,2024-06-18,ONCC,4,"5,046",15,89,6,651
248,2024-06-18,OSCC,6,"20,103",60,213,26,"2,213"
249,2024-06-18,NRCC,0,0,0,0,0,0
250,2024-06-18,GBCC,3,"2,492",7,4,5,246
251,2024-06-18,SWCC,14,"38,866",13,31,5,663
252,2024-06-18,RMCC,4,"2,945",12,29,0,419
253,2024-06-18,EACC,0,0,0,0,0,0
254,2024-06-18,SACC,7,"5,046",0,13,0,136
255,2021-05-18,NWCC,0,0,0,0,0,0
256,2021-05-18,ONCC,0,0,0,0,0,0
257,2021-05-18,OSCC,2,"1,767",15,59,0,482
258,2021-05-18,NRCC,0,0,0,0,0,0
259,2021-05-18,GBCC,1,26,2,4,0,66
260,2021-05-18,SWCC,10,"21,756",17,29,11,726
261,2021-05-18,RMCC,0,0,0,0,0,0
262,2021-05-18,EACC,4,"1,591",0,11,5,135
263,2021-05-18,SACC,6,"1,008",1,39,1,206
264,2019-07-04,NWCC,1,290,2,9,2,74
265,2019-07-04,ONCC,3,"3,115",2,16,0,213
266,2019-07-04,OSCC,0,0,0,0,0,0
267,2019-07-04,NRCC,0,0,0,0,0,0
268,2019-07-04,GBCC,6,"5,037",4,35,6,225
269,2019-07-04,SWCC,15,"169,881",25,38,7,934
270,2019-07-04,RMCC,3,"2,782",3,6,2,115
271,2019-07-04,EACC,0,0,0,0,0,0
272,2019-07-04,SACC,8,"2,517",0,47,4,202
273,2018-05-05,NWCC,1,"1,502",0,0,0,4
274,2018-05-05,ONCC,1,244,2,0,0,70
275,2018-05-05,OSCC,0,"1,756",0,0,0,0
276,2018-05-05,NRCC,0,0,0,0,0,0
277,2018-05-05,GBCC,0,0,0,0,0,0
278,2018-05-05,SWCC,8,"116,386",11,69,5,702
279,2018-05-05,RMCC,0,0,0,0,0,0
280,2018-05-05,EACC,6,"3,948",1,17,1,83
281,2018-05-05,SACC,31,"83,653",25,104,17,"1,027"
282,2020-07-19,NWCC,3,"9,880",7,49,4,472
283,2020-07-19,ONCC,0,"5,513",0,0,0,0
284,2020-07-19,OSCC,2,"26,108",21,128,20,"1,604"
285,2020-07-19,NRCC,0,"2,720",0,0,0,0
286,2020-07-19,GBCC,10,"210,725",48,59,17,"1,597"
287,2020-07-19,SWCC,18,"352,986",36,53,20,945
288,2020-07-19,RMCC,10,"26,958",16,33,9,692
289,2020-07-19,EACC,0,0,0,0,0,0
290,2020-07-19,SACC,9,"36,479",0,41,3,212
291,2020-07-19,NWCC,3,"9,880",7,49,4,472
292,2020-07-19,ONCC,0,"5,513",0,0,0,0
293,2020-07-19,OSCC,2,"26,108",21,128,20,"1,604"
294,2020-07-19,NRCC,0,"2,720",0,0,0,0
295,2020-07-19,GBCC,10,"210,725",48,59,17,"1,597"
296,2020-07-19,SWCC,18,"352,986",36,53,20,945
297,2020-07-19,RMCC,10,"26,958",16,33,9,692
298,2020-07-19,EACC,0,0,0,0,0,0
299,2020-07-19,SACC,9,"36,479",0,41,3,212
300,2020-07-19,NWCC,3,"9,880",7,49,4,472
301,2020-07-19,ONCC,0,"5,513",0,0,0,0
302,2020-07-19,OSCC,2,"26,108",21,128,20,"1,604"
303,2020-07-19,NRCC,0,"2,720",0,0,0,0
304,2020-07-19,GBCC,10,"210,725",48,59,17,"1,597"
305,2020-07-19,SWCC,18,"352,986",36,53,20,945
306,2020-07-19,RMCC,10,"26,958",16,33,9,692
307,2020-07-19,EACC,0,0,0,0,0,0
308,2020-07-19,SACC,9,"36,479",0,41,3,212
309,2020-07-09,NWCC,2,"8,414",9,24,0,281
310,2020-07-09,ONCC,2,"5,743",21,91,5,824
311,2020-07-09,OSCC,4,"5,636",10,17,0,282
312,2020-07-09,NRCC,0,475,0,0,0,0
313,2020-07-09,GBCC,14,"188,872",32,97,17,"1,440"
314,2020-07-09,SWCC,12,"474,829",30,55,26,"1,390"
315,2020-07-09,RMCC,5,"2,797",4,4,5,211
316,2020-07-09,EACC,0,0,0,0,0,0
317,2020-07-09,SACC,4,"7,481",0,7,1,47
318,2018-05-15,NWCC,0,0,0,0,0,0
319,2018-05-15,ONCC,0,0,0,0,0,0
320,2018-05-15,OSCC,0,0,0,0,0,0
321,2018-05-15,NRCC,1,"64,000",0,0,0,38
322,2018-05-15,GBCC,1,"1,400",0,0,0,1
323,2018-05-15,SWCC,8,"112,407",16,42,8,609
324,2018-05-15,RMCC,0,0,0,0,0,0
325,2018-05-15,EACC,1,428,0,0,0,0
326,2018-05-15,SACC,19,"188,808",14,89,16,966
327,2021-10-02,NWCC,12,"570,823",36,65,11,"1,761"
328,2021-10-02,ONCC,7,"1,854,472",103,270,44,"5,475"
329,2021-10-02,OSCC,3,"170,852",88,198,36,"3,739"
330,2021-10-02,NRCC,24,"295,180",21,54,9,"1,135"
331,2021-10-02,GBCC,2,"86,227",2,1,2,80
332,2021-10-02,SWCC,1,395,2,3,0,58
333,2021-10-02,RMCC,3,"10,266",0,2,2,40
334,2021-10-02,EACC,0,"26,797",0,0,0,0
335,2021-10-02,SACC,6,"2,664",1,41,1,107
336,2019-07-14,NWCC,3,"1,395",3,12,1,110
337,2019-07-14,ONCC,2,"9,410",0,9,3,47
338,2019-07-14,OSCC,0,0,0,0,0,0
339,2019-07-14,NRCC,0,0,0,0,0,0
340,2019-07-14,GBCC,14,"33,318",10,75,7,649
341,2019-07-14,SWCC,15,"33,572",8,22,8,428
342,2019-07-14,RMCC,6,532,6,4,4,197
343,2019-07-14,EACC,0,0,0,0,0,0
344,2019-07-14,SACC,7,"19,648",0,11,2,46
345,2017-08-20,NWCC,31,"267,191",188,370,52,"7,922"
346,2017-08-20,ONCC,9,"56,290",100,120,25,"3,721"
347,2017-08-20,OSCC,7,"9,285",28,24,16,988
348,2017-08-20,NRCC,27,"161,788",90,278,47,"4,885"
349,2017-08-20,GBCC,12,"85,363",20,47,9,840
350,2017-08-20,SWCC,0,0,0,0,0,0
351,2017-08-20,RMCC,4,"4,276",0,5,0,29
352,2017-08-20,EACC,0,0,0,0,0,0
353,2017-08-20,SACC,3,"3,244",0,3,1,16
354,2022-04-26,NWCC,0,0,0,0,0,0
355,2022-04-26,ONCC,0,0,0,0,0,0
356,2022-04-26,OSCC,0,0,0,0,0,0
357,2022-04-26,NRCC,1,475,0,35,0,60
358,2022-04-26,GBCC,0,0,0,0,0,0
359,2022-04-26,SWCC,14,"178,326",73,184,28,"3,140"
360,2022-04-26,RMCC,2,"46,925",1,25,0,199
361,2022-04-26,EACC,0,0,0,0,0,0
362,2022-04-26,SACC,13,"243,557",0,33,1,189
363,2024-06-28,NWCC,11,"34,465",57,101,16,"2,129"
364,2024-06-28,ONCC,4,"21,983",47,93,0,"1,633"
365,2024-06-28,OSCC,6,"37,527",53,144,26,"2,418"
366,2024-06-28,NRCC,1,120,0,2,0,18
367,2024-06-28,GBCC,8,"22,379",12,35,7,576
368,2024-06-28,SWCC,9,"56,488",27,49,6,"1,173"
369,2024-06-28,RMCC,4,"3,790",11,30,7,613
370,2024-06-28,EACC,0,0,0,0,0,0
371,2024-06-28,SACC,3,856,0,26,0,62
372,2017-08-30,NWCC,29,"365,496",239,503,64,"9,677"
373,2017-08-30,ONCC,11,"100,921",123,216,23,"4,303"
374,2017-08-30,OSCC,5,"10,825",13,28,8,552
375,2017-08-30,NRCC,34,"248,359",73,299,50,"4,926"
376,2017-08-30,GBCC,24,"115,881",28,56,18,"1,262"
377,2017-08-30,SWCC,1,"1,600",0,0,0,13
378,2017-08-30,RMCC,3,647,4,6,2,133
379,2017-08-30,EACC,0,0,0,0,0,0
380,2017-08-30,SACC,3,"1,951",1,8,2,58
381,2025-03-24,NWCC,0,0,0,0,0,0
382,2025-03-24,ONCC,0,0,0,0,0,0
383,2025-03-24,OSCC,0,0,0,0,0,0
384,2025-03-24,NRCC,0,0,0,0,0,0
385,2025-03-24,GBCC,0,0,0,0,0,0
386,2025-03-24,SWCC,3,"21,848",1,9,0,126
387,2025-03-24,RMCC,10,"47,597",0,66,0,247
388,2025-03-24,EACC,18,"8,176",3,29,3,224
389,2025-03-24,SACC,110,"328,238",38,277,13,"1,447"
390,2022-10-26,NWCC,16,"369,029",22,51,11,"1,201"
391,2022-10-26,ONCC,3,"178,526",11,19,4,727
392,2022-10-26,OSCC,0,0,0,0,0,0
393,2022-10-26,NRCC,5,"45,173",0,5,2,41
394,2022-10-26,GBCC,2,"38,353",0,1,0,3
395,2022-10-26,SWCC,0,0,0,0,0,0
396,2022-10-26,RMCC,0,0,0,0,0,0
397,2022-10-26,EACC,4,"3,491",0,12,0,62
398,2022-10-26,SACC,28,"10,054",6,23,0,244
399,2020-06-03,NWCC,3,"1,561",0,6,0,26
400,2020-06-03,ONCC,0,0,0,0,0,0
401,2020-06-03,OSCC,0,"1,395",0,0,0,0
402,2020-06-03,NRCC,0,0,0,0,0,0
403,2020-06-03,GBCC,3,"18,795",1,6,0,7
404,2020-06-03,SWCC,6,"31,505",2,26,0,140
405,2020-06-03,RMCC,1,"11,818",0,0,0,1
406,2020-06-03,EACC,0,0,0,0,0,0
407,2020-06-03,SACC,2,"36,408",1,3,4,40
408,2018-11-15,NWCC,1,"24,411",0,0,0,0
409,2018-11-15,ONCC,1,"138,000",95,620,24,"5,473"
410,2018-11-15,OSCC,2,"102,893",62,582,22,"3,969"
411,2018-11-15,NRCC,0,0,0,0,0,0
412,2018-11-15,GBCC,3,"12,051",0,0,0,2
413,2018-11-15,SWCC,2,"5,500",2,10,0,75
414,2018-11-15,RMCC,0,0,0,0,0,0
415,2018-11-15,EACC,0,0,0,0,0,0
416,2018-11-15,SACC,2,"2,000",3,4,0,87
417,2021-04-02,NWCC,1,211,2,6,0,54
418,2021-04-02,ONCC,1,873,0,1,0,3
419,2021-04-02,OSCC,0,0,0,0,0,0
420,2021-04-02,NRCC,4,"29,141",0,38,0,157
421,2021-04-02,GBCC,1,"1,751",1,5,0,45
422,2021-04-02,SWCC,1,115,0,0,1,4
423,2021-04-02,RMCC,8,"18,621",2,187,0,669
424,2021-04-02,EACC,6,"14,307",0,17,0,572
425,2021-04-02,SACC,17,"15,225",3,48,0,212
426,2024-07-02,NWCC,11,"36,915",40,60,11,"1,569"
427,2024-07-02,ONCC,3,"20,776",33,55,0,"1,167"
428,2024-07-02,OSCC,8,"47,250",41,129,25,"2,166"
429,2024-07-02,NRCC,2,436,1,5,0,33
430,2024-07-02,GBCC,6,"21,441",5,31,7,434
431,2024-07-02,SWCC,6,"39,475",14,36,6,860
432,2024-07-02,RMCC,2,"3,370",17,24,7,716
433,2024-07-02,EACC,0,0,0,0,0,0
434,2024-07-02,SACC,6,"4,011",0,13,1,74
435,2022-02-11,NWCC,0,0,0,0,0,0
436,2022-02-11,ONCC,0,0,0,0,0,0
437,2022-02-11,OSCC,1,145,4,82,5,499
438,2022-02-11,NRCC,0,0,0,0,0,0
439,2022-02-11,GBCC,0,0,0,0,0,0
440,2022-02-11,SWCC,0,0,0,0,0,0
441,2022-02-11,RMCC,2,615,0,12,0,32
442,2022-02-11,EACC,0,0,0,0,0,0
443,2022-02-11,SACC,6,"2,126",0,20,0,56
444,2024-07-12,NWCC,19,"64,375",90,213,32,"3,517"
445,2024-07-12,ONCC,5,"18,971",83,236,36,"3,669"
446,2024-07-12,OSCC,10,"66,608",96,298,44,"4,601"
447,2024-07-12,NRCC,3,"10,781",5,3,2,210
448,2024-07-12,GBCC,10,"60,004",28,57,19,"1,287"
449,2024-07-12,SWCC,10,"45,369",25,45,12,"1,117"
450,2024-07-12,RMCC,3,"1,632",4,9,3,191
451,2024-07-12,EACC,1,"4,300",0,3,0,7
452,2024-07-12,SACC,2,"3,400",0,0,1,8
453,2021-04-12,NWCC,0,0,0,0,0,0
454,2021-04-12,ONCC,0,0,0,0,0,0
455,2021-04-12,OSCC,1,62,0,0,0,8
456,2021-04-12,NRCC,4,"19,363",0,7,1,50
457,2021-04-12,GBCC,2,"2,846",2,7,0,65
458,2021-04-12,SWCC,5,"9,693",10,29,6,422
459,2021-04-12,RMCC,2,"5,393",0,7,1,28
460,2021-04-12,EACC,15,"15,234",6,65,1,297
461,2021-04-12,SACC,36,"44,063",13,90,2,427
462,2020-06-13,NWCC,0,0,0,0,0,0
463,2020-06-13,ONCC,1,"6,337",10,16,3,230
464,2020-06-13,OSCC,2,"4,047",11,23,4,393
465,2020-06-13,NRCC,0,0,0,0,0,0
466,2020-06-13,GBCC,7,"4,207",1,21,1,128
467,2020-06-13,SWCC,15,"129,364",44,93,16,"1,731"
468,2020-06-13,RMCC,4,"7,810",3,2,0,50
469,2020-06-13,EACC,0,0,0,0,0,0
470,2020-06-13,SACC,7,"16,189",1,81,0,247
471,2018-06-01,NWCC,0,0,0,0,0,0
472,2018-06-01,ONCC,1,484,0,5,0,17
473,2018-06-01,OSCC,0,0,0,0,0,0
474,2018-06-01,NRCC,0,0,0,0,0,0
475,2018-06-01,GBCC,1,521,2,0,0,42
476,2018-06-01,SWCC,5,"51,087",17,36,10,862
477,2018-06-01,RMCC,3,"3,842",7,20,5,393
478,2018-06-01,EACC,1,818,0,0,0,5
479,2018-06-01,SACC,6,"91,275",0,14,0,63
480,2020-11-07,NWCC,4,"364,465",3,20,1,154
481,2020-11-07,ONCC,5,"1,514,057",22,51,10,"1,456"
